time(s) velocity(m/s) pwm offset_pwm
1584111252.3338961601257324 0.2800009846687317 9066 7000
1584111252.4338061809539795 0.3000004887580872 9171 7000
1584111252.5339126586914062 0.3000004887580872 9271 7000
1584111252.6337680816650391 0.3099997639656067 9366 7000
1584111252.7330925464630127 0.3199999928474426 9459 7000
1584111252.8337011337280273 0.3400004506111145 9545 7000
1584111252.9333481788635254 0.3600009083747864 9619 7000
1584111253.0337734222412109 0.2700007557868958 9713 7000
1584111253.1336774826049805 0.5100005269050598 9765 7000
1584111253.2336030006408691 0.4000008702278137 9789 7000
1584111253.3331801891326904 0.3700001835823059 9847 7000
1584111253.4338362216949463 0.3500006794929504 9917 7000
1584111253.5333740711212158 0.3700001835823059 9987 7000
1584111253.6333050727844238 0.3300002217292786 10062 7000
1584111253.7335572242736816 0.3900006413459778 10132 7000
1584111253.8335323333740234 0.3099997639656067 10206 7000
1584111253.9334168434143066 0.2900002598762512 10307 7000
1584111254.0335350036621094 0.3300002217292786 10402 7000
1584111254.1336479187011719 0.1099999397993088 10545 7000
1584111254.2335126399993896 0.2100003212690353 10714 7000
1584111254.3336071968078613 0.2600005269050598 10846 7000
1584111254.4334239959716797 0.2699998021125793 10965 7000
1584111254.5335125923156738 0.3599999547004700 11054 7000
1584111254.6335890293121338 0.2900002598762512 11143 7000
1584111254.7337851524353027 0.2400000542402267 11260 7000
1584111254.8334922790527344 0.3200009465217590 11370 7000
1584111254.9336271286010742 0.3199999928474426 11460 7000
1584111255.0337209701538086 0.3199999928474426 11549 7000
1584111255.1333527565002441 0.3300002217292786 11637 7000
1584111255.2335250377655029 0.3599999547004700 11714 7000
1584111255.3335919380187988 0.3599999547004700 11784 7000
1584111255.4338545799255371 0.3700001835823059 11852 7000
1584111255.5341992378234863 0.2900002598762512 11938 7000
1584111255.6340074539184570 0.3800004124641418 12019 7000
1584111255.7335972785949707 0.4100001454353333 12070 7000
1584111255.8339867591857910 0.4100001454353333 12116 7000
1584111255.9336519241333008 0.4400008320808411 12153 7000
1584111256.0337336063385010 0.4400008320808411 12183 7000
1584111256.1338388919830322 0.4500001072883606 12211 7000
1584111256.2337641716003418 0.7000001072883606 12170 7000
1584111256.3337855339050293 0.5300000309944153 12115 7000
1584111256.4338362216949463 0.5100005269050598 12105 7000
1584111256.5335919857025146 0.5400002598762512 12093 7000
1584111256.6336619853973389 0.5400002598762512 12073 7000
1584111256.7337396144866943 0.5199998021125793 12058 7000
1584111256.8336136341094971 0.5300000309944153 12045 7000
1584111256.9336547851562500 0.5099995732307434 12035 7000
1584111257.0338792800903320 0.5300000309944153 12025 7000
1584111257.1336944103240967 0.5300009846687317 12010 7000
1584111257.2337317466735840 0.2800009846687317 12061 7000
1584111257.3338882923126221 0.4300006031990051 12131 7000
1584111257.4340109825134277 0.4800007939338684 12153 7000
1584111257.5337219238281250 0.4500010609626770 12171 7000
1584111257.6337509155273438 0.5300009846687317 12175 7000
1584111257.7339742183685303 0.4700005650520325 12175 7000
1584111257.8338391780853271 0.4700005650520325 12190 7000
1584111257.9338133335113525 0.4900010228157043 12200 7000
1584111258.0341565608978271 0.4700005650520325 12210 7000
1584111258.1334393024444580 0.4600003361701965 12228 7000
1584111258.2341959476470947 0.4699996113777161 12245 7000
1584111258.3340435028076172 0.4900000691413879 12255 7000
1584111258.4338569641113281 0.4799998402595520 12263 7000
1584111258.5340361595153809 0.5499995350837708 12255 7000
1584111258.6338660717010498 0.4299996495246887 12261 7000
1584111258.7342083454132080 0.4800007939338684 12283 7000
1584111258.8342816829681396 0.4799998402595520 12293 7000
1584111258.9339683055877686 0.4699996113777161 12305 7000
1584111259.0342559814453125 0.5099995732307434 12310 7000
1584111259.1343197822570801 0.5499995350837708 12295 7000
1584111259.2337884902954102 0.4900010228157043 12285 7000
1584111259.3340201377868652 0.4900000691413879 12290 7000
1584111259.4338250160217285 0.5100005269050598 12290 7000
1584111259.5343525409698486 0.4300006031990051 12306 7000
1584111259.6342833042144775 0.4800007939338684 12328 7000
1584111259.7341172695159912 0.5000002980232239 12333 7000
1584111259.8343355655670166 0.7300007939338684 12273 7000
1584111259.9339091777801514 0.5900004506111145 12195 7000
1584111260.0340685844421387 0.5300009846687317 12165 7000
1584111260.1339850425720215 0.5000002980232239 12158 7000
1584111260.2338488101959229 0.5400002598762512 12148 7000
1584111260.3341164588928223 0.5600007176399231 12122 7000
1584111260.4339742660522461 0.5199998021125793 12103 7000
1584111260.5341281890869141 0.5600007176399231 12082 7000
1584111260.6336820125579834 0.5500004887580872 12055 7000
1584111260.7338283061981201 0.5400002598762512 12033 7000
1584111260.8336877822875977 0.3199999928474426 12070 7000
1584111260.9337852001190186 0.4600003361701965 12123 7000
1584111261.0341053009033203 0.4900000691413879 12135 7000
1584111261.1342146396636963 0.4800007939338684 12143 7000
1584111261.2342400550842285 0.5099995732307434 12145 7000
1584111261.3342297077178955 0.5300000309944153 12135 7000
1584111261.4337022304534912 0.4900010228157043 12130 7000
1584111261.5341868400573730 0.4600003361701965 12143 7000
1584111261.6339988708496094 0.4900000691413879 12155 7000
1584111261.7338027954101562 0.4900000691413879 12160 7000
1584111261.8340830802917480 0.4800007939338684 12168 7000
1584111261.9340682029724121 0.4700005650520325 12180 7000
1584111262.0338709354400635 0.4799998402595520 12193 7000
1584111262.1338839530944824 0.5400002598762512 12188 7000
1584111262.2338862419128418 0.4800007939338684 12183 7000
1584111262.3337812423706055 0.4500001072883606 12201 7000
1584111262.4340157508850098 0.5000002980232239 12213 7000
1584111262.5341250896453857 0.5199998021125793 12208 7000
1584111262.6340057849884033 0.4900000691413879 12205 7000
1584111262.7341959476470947 0.4900000691413879 12210 7000
1584111262.8343043327331543 0.4900000691413879 12215 7000
1584111262.9342541694641113 0.5199998021125793 12213 7000
1584111263.0342214107513428 0.5100005269050598 12205 7000
1584111263.1341803073883057 0.4500001072883606 12216 7000
1584111263.2343537807464600 0.5599997639656067 12212 7000
1584111263.3343896865844727 0.4800007939338684 12203 7000
1584111263.4343676567077637 0.4699996113777161 12215 7000
1584111263.5344209671020508 0.4800007939338684 12228 7000
1584111263.6344816684722900 0.4900000691413879 12235 7000
1584111263.7343742847442627 0.5000002980232239 12238 7000
1584111263.8341057300567627 0.5100005269050598 12235 7000
1584111263.9345874786376953 0.4800007939338684 12238 7000
1584111264.0345110893249512 0.4800007939338684 12248 7000
1584111264.1345081329345703 0.5500004887580872 12240 7000
1584111264.2345395088195801 0.4400008320808411 12243 7000
1584111264.3343589305877686 0.4900000691413879 12260 7000
1584111264.4342782497406006 0.5200007557868958 12258 7000
1584111264.5344555377960205 0.5000002980232239 12253 7000
1584111264.6342768669128418 0.5000002980232239 12253 7000
1584111264.7344713211059570 0.5000002980232239 12253 7000
1584111264.8342037200927734 0.4900000691413879 12255 7000
1584111264.9343445301055908 0.5000002980232239 12258 7000
1584111265.0342590808868408 0.5099995732307434 12255 7000
1584111265.1344313621520996 0.4399998784065247 12268 7000
1584111265.2341778278350830 0.5000002980232239 12283 7000
1584111265.3342590332031250 0.5100005269050598 12280 7000
1584111265.4345271587371826 0.5300000309944153 12270 7000
1584111265.5342991352081299 0.5000002980232239 12263 7000
1584111265.6342489719390869 0.7000010609626770 12210 7000
1584111265.7346267700195312 0.6300004124641418 12129 7000
1584111265.8343768119812012 0.5699999928474426 12080 7000
1584111265.9343171119689941 0.5699999928474426 12045 7000
1584111266.0345692634582520 0.5400002598762512 12018 7000
1584111266.1346707344055176 0.5600007176399231 11993 7000
1584111266.2344713211059570 0.5500004887580872 11965 7000
1584111266.3347411155700684 0.5600007176399231 11937 7000
1584111266.4345510005950928 0.5300000309944153 11915 7000
1584111266.5345890522003174 0.5499995350837708 11895 7000
1584111266.6344332695007324 0.3499997258186340 11922 7000
1584111266.7345747947692871 0.4200003743171692 11978 7000
1584111266.8345124721527100 0.5300009846687317 11990 7000
1584111266.9346382617950439 0.4900000691413879 11985 7000
1584111267.0345156192779541 0.4900010228157043 11990 7000
1584111267.1343398094177246 0.4700005650520325 12000 7000
1584111267.2343497276306152 0.5199998021125793 12003 7000
1584111267.3344781398773193 0.4599993824958801 12008 7000
1584111267.4345140457153320 0.4600003361701965 12028 7000
1584111267.5344774723052979 0.4700005650520325 12045 7000
1584111267.6343417167663574 0.4600003361701965 12063 7000
1584111267.7346675395965576 0.4700005650520325 12080 7000
1584111267.8346860408782959 0.3999999165534973 12114 7000
1584111267.9343822002410889 0.4400008320808411 12153 7000
1584111268.0345668792724609 0.4699996113777161 12175 7000
1584111268.1343731880187988 0.4699996113777161 12190 7000
1584111268.2344243526458740 0.4300006031990051 12215 7000
1584111268.3345830440521240 0.4800007939338684 12238 7000
1584111268.4346761703491211 0.5500004887580872 12230 7000
1584111268.5344820022583008 0.5000002980232239 12218 7000
1584111268.6344401836395264 0.5000012516975403 12218 7000
1584111268.7348093986511230 0.5000002980232239 12218 7000
1584111268.8346681594848633 0.5099995732307434 12215 7000
1584111268.9345207214355469 0.5000002980232239 12213 7000
1584111269.0349369049072266 0.5000002980232239 12213 7000
1584111269.1345510482788086 0.5100014805793762 12210 7000
1584111269.2345325946807861 0.5100005269050598 12205 7000
1584111269.3349032402038574 0.5199998021125793 12198 7000
1584111269.4347386360168457 0.4400008320808411 12208 7000
1584111269.5346510410308838 0.4900000691413879 12225 7000
1584111269.6347534656524658 0.5399993062019348 12218 7000
1584111269.7346875667572021 0.5299990773200989 12200 7000
1584111269.8348035812377930 0.4900000691413879 12195 7000
1584111269.9344978332519531 0.5100005269050598 12195 7000
1584111270.0348634719848633 0.5000002980232239 12193 7000
